"","city","n"
"1",NA,210
"2","Springdale",70
"3","Rogers",58
"4","Jonesboro",55
"5","Russellville",54
"6","Dardanelle",36
"7","Van Buren",33
"8","Clarksville",27
"9","Pine Bluff",27
"10","Green Forest",22
"11","Pocahontas",19
"12","Danville",17
"13","Fort Smith",17
"14","DeQueen",16
"15","Little Rock",16
"16","Nashville",16
"17","Gentry",15
"18","Huntsville",15
"19","Fayetteville",14
"20","Ft Smith",14
"21","Waldron",14
"22","Siloam Springs",13
"23","Stuttgart",13
"24","Berryville",12
"25","Osceola",12
"26","Batesville",10
"27","Broken Bow",10
"28","Atkins",9
"29","Camden",9
"30"," Van Buren",8
"31"," Pocahontas",7
"32","Grannis",7
"33","Green Forrest",7
"34"," Russellville",6
"35","Hope",6
"36","North Little Rock",6
"37"," Batesville",5
"38"," Hot Springs",5
"39","Bentonville",5
"40","Forrest City",5
"41","Maumelle",5
"42"," Ft Smith",4
"43"," Jonesboro",4
"44"," Springdale",4
"45","Ozark",4
"46"," Green Forest",3
"47"," Osceola",3
"48"," Rison",3
"49","De Queen",3
"50","Entertainment",3
"51","Forestry",3
"52","Paragould",3
"53","Trumann",3
"54"," Clinton",2
"55"," Stuttgart",2
"56","Cleveland",2
"57","Dumas",2
"58","Haskell",2
"59","Hot Springs",2
"60","Searcy",2
"61","Warren",2
"62"," 275 Hempstead 278",1
"63"," AR",1
"64"," Berry St.",1
"65"," Clarksville",1
"66"," Gentry",1
"67"," Pine Bluff",1
"68"," Siloam Springs",1
"69","Alma",1
"70","Ash Down",1
"71","Ashdown",1
"72","Blytheville",1
"73","Conway",1
"74","DeWitt",1
"75","El Dorado",1
"76","Fordyce",1
"77","Glenwood",1
"78","Harrison",1
"79","Lowell",1
"80","Ola",1
"81","Olrich St",1
"82","Roland",1
"83","Stuggart",1
"84","Texarkana",1
