"","county","n"
"1","Washington",108
"2","Benton",106
"3","Pope",82
"4","Yell",72
"5","Craighead",55
"6","Carroll",53
"7","Crawford",48
"8","Sebastian",48
"9","Johnson",41
"10","Sevier",36
"11","Pulaski",28
"12","Jefferson",27
"13","Madison",26
"14","Howard",22
"15","Randolph",22
"16","All Counties",18
"17","Polk",16
"18","Arkansas",15
"19","Independence",15
"20","Scott",14
"21","Mississippi",13
"22","Out of State",10
"23","Ouachita",9
"24"," Crawford",8
"25"," Randolph",7
"26","Hempstead",7
"27"," Pope",6
"28"," Garland",5
"29"," Independence",5
"30","Marion",5
"31","St. Francis",5
"32"," Craighead",4
"33"," Sebastian",4
"34"," Washington",4
"35","Franklin",4
"36","Little River",4
"37"," Carroll",3
"38"," Cleveland",3
"39"," Mississippi",3
"40","and Recreation, Conway, Faulkner",3
"41","Fishing and Hunting, Colt, St. Francis",3
"42","Greene",3
"43","Poinsett",3
"44"," Arkansas",2
"45"," Benton",2
"46"," Van Buren",2
"47","Bradley",2
"48","Cleveland",2
"49","Desha",2
"50","Garland",2
"51","Saline",2
"52","White",2
"53"," Hope, Hempstead",1
"54"," Jefferson",1
"55"," Johnson",1
"56"," Springdale, Washington",1
"57","Boone",1
"58","Dallas",1
"59","Faulkner",1
"60","Izard",1
"61","Miller",1
"62","Pike",1
"63","Rogers, Benton",1
"64","Union",1
"65",NA,1
